sequential
dense: Dense_1 [ 1, ][ 1, ] relu
dense: Dense_2 [ 1, ][ 2, ] relu
dense: Dense_3 [ 2, ][ 1, ] linear
Epoch: 94, batch index: 55 Loss: [	3.445051	]

Epoch: 95, batch index: 205 Loss: [	1.636689	]

Epoch: 96, batch index: 72 Loss: [	2.798147	]

Epoch: 97, batch index: 208 Loss: [	1.875201	]

Epoch: 98, batch index: 232 Loss: [	2.486490	]

Epoch: 99, batch index: 47 Loss: [	3.049857	]

Epoch: 100, batch index: 190 Loss: [	2.263986	]

Epoch: 101, batch index: 88 Loss: [	2.103170	]

Epoch: 102, batch index: 143 Loss: [	1.139628	]

Epoch: 103, batch index: 136 Loss: [	1.916046	]

Epoch: 104, batch index: 182 Loss: [	3.078486	]

Epoch: 105, batch index: 194 Loss: [	2.542217	]

Epoch: 106, batch index: 68 Loss: [	1.997680	]

Epoch: 107, batch index: 246 Loss: [	1.994914	]

Epoch: 108, batch index: 103 Loss: [	2.801986	]

Epoch: 109, batch index: 10 Loss: [	3.014442	]

Epoch: 110, batch index: 218 Loss: [	2.120391	]

Epoch: 111, batch index: 104 Loss: [	3.045517	]

Epoch: 112, batch index: 226 Loss: [	2.232377	]

Epoch: 113, batch index: 148 Loss: [	3.274713	]

Epoch: 114, batch index: 164 Loss: [	1.546407	]

Epoch: 115, batch index: 16 Loss: [	1.588384	]

Epoch: 116, batch index: 93 Loss: [	2.872288	]

Epoch: 117, batch index: 75 Loss: [	2.243591	]

Epoch: 118, batch index: 193 Loss: [	1.720336	]

Epoch: 119, batch index: 246 Loss: [	1.693906	]

Epoch: 120, batch index: 35 Loss: [	1.497481	]

Epoch: 121, batch index: 162 Loss: [	1.767883	]

Epoch: 122, batch index: 85 Loss: [	1.212401	]

Epoch: 123, batch index: 170 Loss: [	2.807888	]

Epoch: 124, batch index: 16 Loss: [	1.387963	]

Epoch: 125, batch index: 10 Loss: [	2.498337	]

Epoch: 126, batch index: 213 Loss: [	2.082594	]

Epoch: 127, batch index: 198 Loss: [	1.947254	]

Epoch: 128, batch index: 46 Loss: [	2.142883	]

